2025-11-05 09:44:49.482 [http-nio-0.0.0.0-8081-exec-2] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:44:49.483 [http-nio-0.0.0.0-8081-exec-6] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:44:49.483 [http-nio-0.0.0.0-8081-exec-2] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: POST /api/products/list
2025-11-05 09:44:49.483 [http-nio-0.0.0.0-8081-exec-6] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: GET /api/blind-boxes
2025-11-05 09:44:49.483 [http-nio-0.0.0.0-8081-exec-2] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:44:49.483 [http-nio-0.0.0.0-8081-exec-6] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:44:50.491 [http-nio-0.0.0.0-8081-exec-6] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:44:50.491 [http-nio-0.0.0.0-8081-exec-6] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 1008 ms
2025-11-05 09:44:50.491 [http-nio-0.0.0.0-8081-exec-6] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:44:51.504 [http-nio-0.0.0.0-8081-exec-2] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:44:51.504 [http-nio-0.0.0.0-8081-exec-2] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 2022 ms
2025-11-05 09:44:51.504 [http-nio-0.0.0.0-8081-exec-2] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:45:21.925 [http-nio-0.0.0.0-8081-exec-8] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:45:21.925 [http-nio-0.0.0.0-8081-exec-8] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: POST /api/products/list
2025-11-05 09:45:21.925 [http-nio-0.0.0.0-8081-exec-8] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:45:21.931 [http-nio-0.0.0.0-8081-exec-4] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:45:21.931 [http-nio-0.0.0.0-8081-exec-4] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: GET /api/blind-boxes
2025-11-05 09:45:21.931 [http-nio-0.0.0.0-8081-exec-4] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:45:22.246 [http-nio-0.0.0.0-8081-exec-8] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:45:22.246 [http-nio-0.0.0.0-8081-exec-8] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 321 ms
2025-11-05 09:45:22.246 [http-nio-0.0.0.0-8081-exec-8] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:45:22.254 [http-nio-0.0.0.0-8081-exec-4] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:45:22.254 [http-nio-0.0.0.0-8081-exec-4] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 323 ms
2025-11-05 09:45:22.254 [http-nio-0.0.0.0-8081-exec-4] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:45:30.070 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:45:30.070 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: GET /api/products/P10001
2025-11-05 09:45:30.070 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:45:30.085 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:45:30.085 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 15 ms
2025-11-05 09:45:30.085 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

